index,conversation,translation,actual_value,claude_prediction,claude_exp4_classification,claude_exp4_justification,openai_prediction,openai_exp4_classification,openai_exp4_justification,gemini_prediction,gemini_exp4_classification,gemini_exp4_justification,gemma_prediction,gemma_exp4_classification,gemma_exp4_justification,llama_prediction,llama_exp4_classification,llama_exp4_justification,deepseek_prediction,deepseek_keyword_evaluation,deepseek_exp4_classification,deepseek_exp4_justification,human_eval_response,qwen_exp4_classification,qwen_exp4_justification
28,@bucket2211 @Cancer23__ حلو الحين تطلع البنت ضايفتك اموت ضحك على نفسي,"""Bucket2211, Cancer23__, it's sweet that the girl added you. I'm dying of laughter at myself.""",depressed,,not depressed,"This is a sarcastic, joking exchange between users about a girl ""showing off"" that she has you as a guest, with the poster laughing at themselves (""اموت ضحك على نفسي"" — dying laughing at myself). The tone is lighthearted banter and dark humor directed at a relational situation, not an expression of genuine hopelessness, worthlessness, or persistent sadness. No clinical depression indicators present.",,not depressed,"The post contains humor and light-heartedness, indicated by ""اموت ضحك"" (I die laughing) about a social interaction. It reflects a playful engagement rather than any signs of personal distress or depression.",,not depressed,"The post is a casual, sarcastic remark about social media interactions. The phrase ""اموت ضحك على نفسي"" (I die laughing at myself) is used as a common hyperbolic expression of amusement, not a reference to self-harm or genuine emotional distress.",,not depressed,"The post is a casual, colloquial remark using hyperbole (""I die laughing at myself"") directed at others. It does not express hopelessness, social withdrawal, loss of interest, or any other indicators of clinical depression; it appears to be lighthearted teasing.",,not depressed,"The post contains a lighthearted and humorous tone, with the author joking about being ""ضايفت"" (upset) but then laughing at themselves. This suggests a temporary emotional state rather than persistent depression.",,,,,,not depressed,"The post uses sarcasm and dark humor (""I would die laughing"") to joke about a friend's appearance, which is a common social interaction rather than genuine distress. There are no indicators of hopelessness, isolation, or self-harm; the context is clearly playful banter between friends."
37,@CelebsArabic انا ماني كئيب و اكلج واجد كيف كذا؟؟؟,"I'm not sad, and I eat a lot. How is this possible???",depressed,,not depressed,"The post is a sarcastic or rhetorical question directed at a celebrity account (@CelebsArabic), not a personal expression of distress. The opening denial (""I'm not sad"") followed by a humorous/sarcastic complaint about eating a lot is lighthearted banter, not genuine hopelessness or behavioral depression. This is social engagement with a public figure, not isolation or persistent sadness.",,not depressed,"The post opens with a denial of being depressed (""ماني كئيب"") and uses a rhetorical question, indicating social engagement rather than isolation. The tone suggests a light-hearted or sarcastic approach, lacking any indicators of personal distress.",,not depressed,"The post is a casual, rhetorical question directed at a social media account. The user is expressing confusion about their own personality or behavior in a lighthearted, conversational tone rather than exhibiting signs of clinical depression or hopelessness.",,not depressed,"The user explicitly states ""ماني كئيب"" (I am not sad/depressed), negating the primary indicator of depression. The post is framed as a casual question seeking information about a physical state (hunger) rather than expressing hopelessness or behavioral symptoms.",,not depressed,"The post explicitly states ""انا ماني كئيب"" meaning ""I am not sad"", and asks a rhetorical question about how someone can be both hungry and happy, indicating a temporary situational problem rather than clinical depression.",,,,,,not depressed,"The post uses rhetorical questions (""كيف كذا"") and slang typical of social media engagement rather than expressing genuine personal distress. It functions as an interactive query to followers about feelings, lacking the persistent hopelessness or behavioral withdrawal required for a depression classification."
84,كندا أي شخص يعرف كيفية الحصول على الأنسولين في كندا دون صديق مرض السكري أو قريب. الأنسولين المعين أرخص وأسهل للحصول على بندقية فقط لا أعرف مكان الحصول عليه,"Canada, does anyone know how to get insulin in Canada without a diabetic friend or relative? The specific insulin is cheaper and easier to get, just a gun, I don't know where to get it.",depressed,,not depressed,"This post is a practical question about accessing insulin in Canada for diabetes management. While the phrasing is awkward (possibly machine-translated or non-native English/Arabic), it expresses a concrete logistical problem—obtaining medication—not hopelessness, worthlessness, or behavioral withdrawal. The post seeks information and help, indicating problem-solving intent rather than depressive symptoms.",,not depressed,"The post is a request for information about obtaining insulin in Canada, indicating a situational problem rather than personal distress. There are no expressions of hopelessness, worthlessness, or isolation present in the content.",,not depressed,"The post is a practical, situational inquiry regarding the logistics of obtaining medical supplies (insulin) in Canada. It lacks any indicators of hopelessness, emotional distress, or self-harm, focusing entirely on a specific, functional problem-solving request.",,not depressed,"The post is a logistical inquiry about obtaining insulin in Canada, framed as a request for information rather than an expression of emotional distress. It does not contain indicators of hopelessness, social withdrawal, loss of interest, or negative self-talk associated with clinical depression.",,not depressed,"The post is seeking information on how to obtain insulin in Canada, indicating a need for medical treatment, but the tone is informational and problem-solving, not expressing distress or hopelessness.",,,,,,not depressed,"The post discusses practical difficulties obtaining insulin in Canada without family support, which is a situational problem rather than clinical depression. There are no expressions of hopelessness, self-harm, or persistent sadness; the text focuses on logistical confusion about medical supplies."
119,"خدعني 19f خدعني وتركتني 20m أنا أعرف بالفعل أن الناس يقولون لي أن الاستسلام. أنا أعرف بالفعل ما يجب أن أفعله.

نحن مؤرخة عندما كنت صغيرا وأصبحت الكثير من الأخطاء في علاقتنا. في السنة في علاقتنا الأربع سنوات، انفصلت عنها لأنني كنت أواجه قضايا الالتزام وأظهرت إلى منزلي في وقت متأخر من الليل (خلال هذا الوقت كنت في حالة سكر وحمضية) ولن أغادر. لقد بدأت جدولة وحاولت حملها خارجها وقفل الباب وأصابتني في الرقبة وألقيتها على سريري ولكم ظهرها في الساق وصرخ بالدموع في عيني ""من فضلك لم أتركني وحدي"" ثم حاولت مغادرة منزلي للابتعاد عنها. تابعتني بالخارج ودفعت لها بشدة ضد جدار وحاول الابتعاد عنها مرة أخرى. غادرت في سيارة أصدقاء وصرخ ""أنت مجنون سخيف"" كما غادرت. انتهى بي الأمر بالشعور الرهيب وتساءل الشوارع في مثل 2 صباحا يبحث عنها في حالة سكر فوضوي فقط. في النهاية، وجدتها وأنتنا لكنني لا أعتقد أنها سفرت لي (أعرف أنني لم أكن، بدأت تناول كوابيس ذابلة ذنب بانتظام بعد ذلك).

بعد ذلك، بدأت باكتئاب سيء للغاية وتوقف عن الخروج أو أن أكون ممتعا. بدأت إخراج الغضب عليها بدلا من التخلي معها تشعر بالأمان من حولي. بدأت رسائل الرسائل النصية صور لنفسها كثيرا وقد جعلني أشعر بالهزم وغير محبوب. حول هذه المرة توقفت عن الصراخ عليها وبدأت في محاولة الحصول عليها أن تحبني. وقالت إنها لن تقوم بتفتيش هؤلاء اللاعبين قبالة Snapchat وجعلني أشعر بأن أشعر بالمرياء انتهى بي الأمر بالغش عليها وأثبتني في الوجه وكسر يدها. انتهى الأمر بتركي لبعض الرجل وأخبرني أنهم مجرد أصدقاء وعدم القلق بشأن ذلك. انتهى هذا الرجل في اغتصابها وسأكون صادقا ألقيت باللوم على نفسي لعدم أن أكون ممتعا ودفعها إلى أحضان المفترسة. أعلم أن هذا ليس عقلية جيدة ولكن لا يمكنني مساعدة كيف أشعر.
في وقت لاحق لقد عدنا معا لبضعة أشهر وتركتني مرة أخرى لرجل بدأت في تواريخ القهوة مع أثناء تأريخنا. في جميع أنحاء هذه المرة أعطيتها قرض سيارة، لم تدفعها أبدا وأعطيتها مثل 2K لشقة حتى يتمكنت من الابتعاد عن عائلتها السامة. لم أكن أدرك أنها كانت تعود إلى أن الرجل الجديد في ذلك الوقت وانتهى الأمر بالتحرك معه باستخدام 2K.

يبدو أنها تماما كما هي لا تهتم بي بعد الآن. هذا الرجل الجديد هو القطبية القطبية بالضبط مني. أنا أعرف بالفعل أن معظم الناس سوف يقولون لي أن الاستسلام ولكن إيف أنفقت العام الماضي ونصف يحاول أن يكون رجلا أفضل. أنا أعرف ما فعلت خطأ، لا أستطيع تغيير الماضي الذي أريد فقط أن أكون ما احتجناه لي أن أكون. لا أستطيع الحصول على إلغاء انتظار هذه الفتاة. كانت صديقتي المفضلة. أنا لا أريد الاستسلام. إنها تجعل الحياة جديرة بالاهتمام.

أنا لا أعرف ما نصيحة أنا أبحث عن. فعلت كل شيء خاطئ في العلاقة، أنا لست شخصا مستقرا لتكون حوله من المسلم به. هذا هو السبب في أنني أحاول الدخول في العلاج حتى أكون غير سامة. لقد تعاملت معها مثل القرف ولا أريد أن أكون شريرا بعد الآن. أريد أن أكون صخورها، كما اعتدت أن أكون. أريد فقط أن أعيش حياة أفضل، إنها مجرد شعور بحيث لا معنى لها في الوقت الحاضر. أنا لست الانتحار، أنا فقط لا أرى الكثير من النقطة في أي شيء أفعله بعد الآن. كل ما أقوم به هو الاستيقاظ / العمل / رعاية كلبي.

أشعر أن هذا المنصب بأكمله كان غبي جدا. أعلم أنني أبدو غبية حتى أقول معظم هذا القرف. لا أستطيع أن أساعد كيف أشعر رغم ذلك.

TL؛ دكتور: أنا مارس الجنس كل شيء وفعل كل شيء خطأ وتكرهني وأنا لا ألومها أيضا. أريد فقط أن تعود هذه النساء.","She deceived me 19f, she deceived me and left me 20m. I already know that people tell me to give up. I already know what I should do.

We dated when I was young and made a lot of mistakes in our relationship. In the fourth year of our relationship, I broke up with her because I was having commitment issues and showed up at her place late at night (during which I was drunk and acidic) and wouldn't leave. She started scheduling and tried to get me out of it, locked the door, and hit me in the neck, threw me on the bed, and punched her back at the leg, and screamed with tears in her eyes, ""Please don't leave me alone."" Then I tried to leave my house to get away from her. She followed me outside, and I pushed her hard against the wall and tried to get away from her again. I left in my friend's car, and she shouted, ""You're a stupid lunatic"" as I left. I ended up feeling terrible and wondering the streets at around 2 a.m., looking for her in a drunken mess. In the end, I found her and we talked, but I don't think she forgave me (I know I wasn't, I started having regular guilt-ridden nightmares after that).

After that, I fell into a very bad depression and stopped going out or being fun. I started taking out my anger on her instead of letting her feel safe around me. She started sending me text messages with pictures of herself, which made me feel defeated and unloved. Around this time, I stopped shouting at her and started trying to get her to love me. She said she wouldn't check those players off Snapchat and made me feel like a fool. I ended up cheating on her, and she caught me in the act and broke her hand. I ended up leaving her for some guy who told me they were just friends and not to worry about it. That guy ended up raping her, and I'll be honest, I blamed myself for not being fun and pushing her into the arms of a predator. I know this isn't a good mindset, but I can't help how I feel.

Later, we got back together for a few months, and she left me again for a guy she started dating while we were dating. During this time, I gave her a car loan, which she never paid back, and I gave her around $2K for an apartment so she could get away from her toxic family. I didn't realize she was going back to that new guy at the time and ended up moving in with him using the $2K.

It seems like she just doesn't care about me anymore. This new guy is the polar opposite of me. I already know that most people will tell me to give up, but I've spent the last year and a half trying to be a better man. I know what I did wrong; I can't change the past, but I just want to be what she needed me to be. I can't get this girl off my mind. She was my favorite friend. I don't want to give up. She makes life worthwhile.

I don't know what advice I'm looking for. I did everything wrong in the relationship; I'm not a stable person to be around, admittedly. That's why I'm trying to get into therapy to become non-toxic. I treated her like crap, and I don't want to be a bad person anymore. I want to be her rock, as I used to be. I just want to live a better life; it's just feeling so meaningless right now. I'm not suicidal, I just don't see much point in anything I do anymore. All I do is wake up/work/take care of my dog.

I feel like this whole post was very stupid. I know I sound stupid even saying all this crap. I can't help how I feel, though.

TL;DR: I fucked everything up and did everything wrong, and she hates me, and I don't blame her either. I just want these women back.",not depressed,,depressed,"The post exhibits multiple depression indicators: persistent hopelessness (""no meaning for it now,"" ""doesn't see the point in anything""), anhedonia (loss of pleasure—""just wake up/work/care for dog""), emotional emptiness despite acknowledging he's ""not suicidal,"" and pervasive worthlessness (""I messed everything up,"" ""I'm not a stable person""). The entire narrative centers on loss of purpose tied to one person, with no engagement in meaningful activities. These are clinical depression symptoms, not situational relationship distress.",,depressed,"The post expresses deep feelings of worthlessness and hopelessness, particularly with phrases like ""لا أرى الكثير من النقطة في أي شيء أفعله"" (I don't see much point in anything I do) and ""شعور بحيث لا معنى له"" (feeling like it has no meaning). The author also mentions a desire for therapy, indicating awareness of their struggles, and describes persistent sadness and social withdrawal.",,error,,,depressed,"The post details severe emotional distress stemming from relationship trauma and betrayal, explicitly mentioning ""اكتئاب سيء للغاية"" (very bad depression). It expresses hopelessness regarding the past (""لا أستطيع تغيير الماضي"") and a sense of meaninglessness in the present (""إنها مجرد شعور بحيث لا معنى لها في الوقت الحاضر"").",,depressed,"The post expresses feelings of worthlessness, self-blame, and hopelessness, with the author acknowledging having done ""everything wrong"" in past relationships and feeling unlovable. They also mention experiencing severe depression, anxiety, and a lack of motivation, indicating persistent sadness and behavioral symptoms.",,,,,,depressed,"The post explicitly states ""I started severe depression"" and describes hopelessness, loss of pleasure, and feeling worthless (""hate myself,"" ""no point in anything""). While it mentions suicide ideation is not present, the author feels life has no meaning and seeks therapy to stop being ""toxic,"" indicating deep clinical distress rather than temporary venting."
162,كنت متحمس لحلقه اليوم ومتحمس ايضا بمشاركه حسين عبدالرضا لاكن انصدمت فعلا بأن القلب السعودي حسود يكره الحب نكدي ملقوف 👎 🏼 #سيلفي٣,"I was excited for today's episode and also excited about Hussein Abdelreda's participation, but I was really shocked that the Saudi heart is jealous, hates love, and is a killjoy. 👎 #Selfie3",depressed,,not depressed,"The post expresses situational disappointment about a TV episode and criticism of a character's behavior (""حسود يكره الحب نكدي""). The author was initially excited (""متحمس"") and experienced a specific letdown, not persistent hopelessness or loss of interest in activities generally. This is temporary frustration about one episode, not clinical depression.",,not depressed,"The post expresses disappointment about a specific situation (""انصدمت"") but does not indicate personal distress or hopelessness. It discusses feelings related to a social event and uses humor and sarcasm (""نكدي ملقوف"") rather than expressing isolation or sadness.",,not depressed,"The post is a situational critique of a television show and its audience, expressing frustration with a specific social group. It is a form of venting about a public media event rather than an expression of personal hopelessness, isolation, or clinical depression.",,not depressed,"The post expresses shock and disappointment regarding a cultural observation about the Saudi heart, not personal feelings of hopelessness or isolation. It is a reaction to external content rather than an expression of internal emotional distress or behavioral symptoms associated with depression.",,not depressed,"The post expresses enthusiasm and excitement, but the negative sentiment is directed at a specific situation (""القلب السعودي حسود"") and not a personal experience. The tone is more situational frustration than clinical depression.",,,,,,not depressed,"The post expresses disappointment over a specific event (a Saudi team's behavior) rather than personal hopelessness or worthlessness. The author uses sarcasm (""heart is jealous"") to critique the team, which falls under situational venting and literary expression, not clinical depression."
178,@sanggovsa انا عندي رسالة حلم حياتي انكم انتوا تتابعوني، مابي اموت ابي الناس تعرف مين منال ، البطلة منال القوية  ،… https://t.co/GE6F2Xfh0V,"@sanggovsa I have a lifelong dream message that you follow me; I don't want to die; I want people to know who Manal is, the strong and brave Manal... https://t.co/GE6F2Xfh0V",depressed,,not depressed,"The post expresses a life dream and desire for recognition (""I want people to know who Manal is, the strong hero Manal""). While it mentions death (""mabi amooot""), this is framed as motivation to achieve legacy and be remembered—a aspirational statement, not hopelessness or suicidal ideation. The overall tone is about ambition and self-affirmation, not despair.",,not depressed,"The post expresses a desire for recognition and engagement, stating a dream to be followed. Phrases like ""البطلة منال القوية"" (the strong hero Manal) indicate a positive self-image and ambition, lacking any signs of hopelessness or distress.",,depressed,"The user expresses a desperate need for external validation and a fear of dying before being recognized (""مابي اموت ابي الناس تعرف مين منال""). This indicates a profound sense of worthlessness and a preoccupation with legacy that suggests significant emotional distress.",,not depressed,"The post is a public appeal seeking followers and recognition (""ابي الناس تعرف مين منال""). It expresses a desire for visibility rather than hopelessness, social withdrawal, or expressions of worthlessness. It functions as a request for engagement rather than an expression of clinical depressive symptoms.",,not depressed,"The post expresses a desire for recognition and to be known, but in a confident and empowering tone, referring to the author as ""البطلة منال القوية"" (the strong heroine Manal), indicating a positive self-image. There is no language suggesting hopelessness, worthlessness, or distress.",,,,,,not depressed,"The post expresses a desire for followers and explicitly states ""I don't want to die,"" which contradicts self-harm indicators. It functions as an interactive plea for engagement rather than a statement of hopelessness or isolation."
188,@moe_gov_sa @sarah_wad3ani1 انا عندي رسالة حلم حياتي انكم انتوا تتابعوني، مابي اموت ابي الناس تعرف مين منال ، البطل… https://t.co/7y3WihaTAE,"@moe_gov_sa @sarah_wad3ani1 I have a message, my life's dream is for you to follow me. I don't want to die; I want people to know who Manal is, the hero… https://t.co/7y3WihaTAE",depressed,,not depressed,"The post expresses a life ambition and desire for recognition (""my dream is that you follow me, I want people to know who Manal is, the hero""). While it mentions death (""I don't want to die""), this is framed within a motivational context about legacy and being remembered for achievements, not hopelessness or self-harm. The overall tone is aspirational and goal-oriented, directed at gaining followers and visibility.",,not depressed,"The post expresses a desire for recognition and engagement, indicated by ""حلم حياتي انكم انتوا تتابعوني"" (my life's dream is for you to follow me). It does not convey hopelessness, worthlessness, or any signs of personal distress, focusing instead on aspirations for social connection.",,not depressed,"The post is an interactive social media request directed at public figures to gain attention or followers. While the user mentions ""dying,"" it is used as a rhetorical device to express the intensity of their ambition to be recognized, not as a sign of clinical depression.",,not depressed,"The post expresses a strong desire for social recognition and visibility (""حلم حياتي انكم تتابعوني""), which is a request rather than an expression of hopelessness or behavioral symptoms. It functions as a plea to followers, lacking the indicators of worthlessness, isolation, or loss of interest required for a depressed classification.",,not depressed,"The post expresses a desire for recognition and to be known, but in a hopeful and ambitious context, not indicative of hopelessness or distress. The use of ""حلم حياتي"" (dream of my life) suggests a positive aspiration.",,,,,,not depressed,"The post is a promotional message seeking followers and introducing the author's name, lacking any expressions of hopelessness or self-harm. The phrase ""مابي اموت"" (I don't want to die) functions as a rhetorical declaration of determination rather than an expression of suicidal ideation in this context."
198,ويجي واحد يقولك انا عندي اكتئاب وهو اصلا ميعرفش ربنا 🤝,"Someone comes along and tells you they're depressed, but they don't even know God.",depressed,,not depressed,"This is a sarcastic, rhetorical observation critiquing others who claim depression without faith — not a personal expression of the author's own suffering. The tone is dismissive commentary (""ويجي واحد يقولك""), not self-directed distress. No indicators of hopelessness, isolation, or loss of interest in the author's own life.",,not depressed,"The post expresses a rhetorical statement about someone claiming to have depression without knowing God. It does not indicate personal distress or feelings of hopelessness, worthlessness, or isolation, but rather critiques another's understanding of depression.",,not depressed,"The post is a sarcastic or judgmental social commentary directed at others rather than an expression of the author's own mental state. It uses a dismissive tone regarding the concept of depression, which does not indicate personal suffering or clinical symptoms.",,not depressed,"The post is a philosophical observation contrasting mental health diagnosis with religious knowledge. It does not express personal feelings of hopelessness, social withdrawal, loss of interest, or any other clinical indicators of depression.",,not depressed,"The post contains a religious phrase (""ربنا"") and a casual, dismissive tone towards someone's claim of depression, indicating no personal distress. The overall context suggests a social interaction rather than a personal struggle with mental health.",,,,,,not depressed,"The post describes a third-party observer (""someone"") who incorrectly claims to have depression, rather than expressing personal distress. It functions as a social commentary on misdiagnosis or ignorance about mental health, lacking the author's own symptoms of hopelessness or withdrawal."
222,"يريد الزوج الجنس الكثير وأنا لا أذهب إلى غير متأكد من القيام بذلك قد يكون طويلا ولكن أشعر أن هناك حاجة إلى قصة الظهر هنا. أيضا باستخدام Realaway لأسباب واضحة. أحتاج إلى معرفة ما إذا كنت جاهلا تماما وكوني الحمار أو إذا كان قد يكون خطأ. آمل أن لا يرسم هذا المنشور زوجي في ضوء سيء، هس ليس فظيعة.



الزوج هو 30 أنا 34. لقد كنا معا لمدة 5 سنوات الآن. لديه طفلان من زواج سابق أن لدينا حضانة كاملة. لدينا أيضا طفلان Bio Buy (3) لديه احتياجات خاصة طفيفة، ولديه هيدروسيفالوس، ولكنه قابل للإدارة للغاية والكاد مشكلة على الإطلاق. كان لدينا أيضا طفل عمره 5 أشهر والتسنين. طفله الآخران هو 10 فولت و 8 م 8 سنوات من العمر 8 سنوات لديه عقل هيس القديم 4 سنوات حصلت على إعاقات تنموية متطرفة. أعتني بالتعرض الكامل لجميع الأطفال. زوجي يعمل كثيرا.


اشترينا منزلنا abpit منذ 6 أشهر. منذ أن جاء الطفل، حصلت على أنابابي مرتبطة، وأنا لست كذلك في مزاج الجنس على مدار 24/7. أحاول أن أفعل ذلك على الأقل كل 3 أيام لا أذهب دائما ولكن عندما أحاول إرضاءه. كنت أستيقظ في الساعة 6 صباحا كل يوم لمدة أسبوعين لإعطائه. وظائف وظائف على الأقل. أنا أعرف كيف يحصل إذا لم يمضي الجنس. يسبب المعارك والحجج ويغضب مني. هس مستاء أنا لست كذلك كما كان من قبل مثل عندما اجتمعنا أولا.


من الواضح أن الليلة الماضية عملت في وقت متأخر وأعتقد أنني كنت ميتا نائما AMD حاول أن أبدأ وانا تخمين في كلماته أطلق النار عليه. أحب نومي لا أحب أن استيقظت، كما أنا طوال الليل مع طفل، لا يزال القديم 3 سنوات ينام في سريرنا. أنا استنفدت معظم الأيام. من الصعب جدا أن يهتم ابن خطوتي بعناية سبب الإعاقات الخاصة به، وأصدق أنني مجرد استنزاف سخيف من اليوم إلى اليوم. أنا أيضا الرضاعة الطبيعية طفلنا.


مشكلتي هي اللحاق بهذه المواقف الضخمة عندما لا أستطيع أن أعطيه الجنس وعندما أفعل ""أنا فقط لست في ذلك بما فيه الكفاية"". من الصعب أن تكون كلها في كل شيء عندما أفكر في كل الملايين من الأشياء التي يجب علي فعلها أو عندما يكون هناك طفل صغير في الغرفة المجاورة. أنا بصراحة في نهايتي في حياتي، وأنا مستعد أن أخبره أن يذهب فقط من الغش إلي إذا لم أكن كافية. إذا قمت بتحويله، فأنا أعرف بالفعل ما أنا فيه، وسوف يكون مشكلة كبيرة. أنا dunno أنا منزعج السبب كان [هس] غاضب مني طوال اليوم، وعندما أحاول أن يبدو أنه لا يزال لديه مشاكل معها. مثل دعنا نقول إنني أعاني من الجنس وبدء، إذا لم أفعل ذلك مرة أخرى في يوم واحد، فهو كله، ""أوه لم يكن لديك أبدا الجنس blah blah"" أنا dunno ربما أنا متبلد شكرا على القراءة. سأجيب على أي أسئلة لديك إذا كنت بحاجة إلى مزيد من المعلومات. ...... يبدو أن لا شيء أفعله هو الصحيح. قضيت طوال اليوم في اللحاق بالغسيل، ثم قام بتكلفة طاولة القهوة نظيفة بما فيه الكفاية. لذلك في اليوم التالي، قمت بتنظيف المنزل بأكمله، وهذه هي الليلة التي حولت ذلك إلى الجنس. أنا أبكي كتابة هذا السبب أنا فقط دوم يعرف كيفية إرضاء هذا الرجل.","My husband wants a lot of sex and I'm not in the mood to do it. It might be long, but I feel there's a backstory needed here. Also using Realaway for obvious reasons. I need to know if I'm being completely ignorant and being the donkey or if it might be wrong. I hope this post doesn't paint my husband in a bad light, he's not awful.

He's 30, I'm 34. We've been together for 5 years now. He has two children from a previous marriage that we have full custody of. We also have two Bio Buy children (3), he has minor special needs, and he has hydrocephalus, but it's very manageable and hardly a problem at all. We also have a 5-month-old who is teething. His other child is 10 and 8 years old, he's 8 and has his old man's mind, and the 4-year-old has extreme developmental disabilities. I take care of all the children full-time. My husband works a lot.

We bought our home about 6 months ago. Since the baby came, I got my tubes tied, and I'm not in the mood for sex 24/7. I try to do it at least every 3 days, I don't always go through with it, but when I do try to please him. I wake up at 6 am every day for two weeks to give him at least. I know how he gets if sex doesn't happen. It causes fights and arguments and he gets angry at me. He's upset that I'm not as I used to be like when we first met.

Last night he worked late and I think I was dead asleep and AMD tried to initiate and I guess in his words shot him down. I love my sleep, I don't like being woken up, as I'm up all night with the baby, and the 3-year-old still sleeps in our bed. I'm exhausted most days. It's very hard to take care of my stepson due to his special needs, and I feel like I'm just a stupid drain from day to day. I'm also breastfeeding our baby.

My problem is catching up with these huge expectations when I can't give him sex and when I do ""I'm just not into it enough."" It's hard to be all-in when I think of all the million things I have to do or when there's a little kid in the next room. I'm honestly at my wit's end in my life, and I'm ready to tell him to just go cheat on me if I'm not enough. If I turn him down, I already know what I'm in for, and it will be a big problem. I dunno, I'm irritated that he was mad at me all day, and when I try, it seems he still has issues with it. Like let's say I'm not in the mood for sex and initiate, if I don't do it again in one day, he's all, ""Oh you never have sex blah blah"" I dunno, maybe I'm just numb. Thanks for reading. I'll answer any questions you have if you need more info. ...... It seems nothing I do is right. I spent all day catching up on laundry, then he complained the coffee table wasn't clean enough. So the next day, I cleaned the whole house, and this is the night he turned it into sex. I'm crying writing this because I just don't know how to please this man.",not depressed,,depressed,"The post exhibits multiple depression indicators: persistent exhaustion (""استنفدت معظم الأيام"" — exhausted most days), feelings of worthlessness (""أنا فقط استنزاف سخيف"" — I'm just a stupid drain), hopelessness (""أنا في نهايتي في حياتي"" — I'm at my end in life), and emotional overwhelm despite attempting to meet demands. The author describes being unable to satisfy her husband regardless of effort, feeling nothing she does is right, and crying while writing. These reflect clinical depression symptoms—not situational venting—compounded by caregiver burnout, sleep deprivation, and relentless resp",,depressed,"The post expresses feelings of exhaustion, inadequacy, and hopelessness, particularly with phrases like ""أنا بصراحة في نهايتي في حياتي"" (I'm honestly at the end of my life) and ""لا شيء أفعله هو الصحيح"" (nothing I do is right). The author describes overwhelming responsibilities and emotional distress, indicating signs of depression.",,depressed,"The author describes being ""at my wit's end"" and feeling completely drained by daily life. Phrases like ""I am just a damn drain"" and ""I don't know how to please this man"" combined with frequent crying indicate emotional exhaustion and hopelessness in her situation.",,depressed,"The post expresses profound feelings of exhaustion (""استنفدت معظم الأيام""), hopelessness regarding personal circumstances (""أنا بصراحة في نهايتي في حياتي""), and a sense of inadequacy concerning responsibilities. These statements, combined with the description of emotional distress related to relationships and caregiving, indicate depressive symptoms.",,depressed,"The post expresses feelings of inadequacy, frustration, and sadness due to the inability to satisfy her partner's sexual demands, leading to conflicts and emotional distress. Phrases like ""أنا فقط لست في ذلك بما فيه الكفاية"" (I'm just not enough) and ""أنا بصراحة في نهايتي في حياتي"" (I'm honestly at the end of my life) indicate a sense of hopelessness and despair.",,,,,,depressed,"The author expresses feeling ""at the end of my life,"" describes severe exhaustion from caring for multiple children, and admits to crying while writing. She feels unable to meet her husband's demands despite trying, leading to a sense of hopelessness and believing nothing she does is right."
230,صمتك اليوم عار قولها ولا تخف من بطش استبداد غشوم ولا تتخلي عن أرض بلادك تحت وهم مصلحة زائفة تيران وصنافير مصرية,Your silence today is a disgrace. Speak up and do not fear the tyranny of the oppressive. Do not abandon your homeland under the illusion of false interests. Tiran and Sanafir are Egyptian.,depressed,,not depressed,"This is a political/patriotic call-to-action post urging someone to speak out against authoritarianism and defend their country's land. The language is passionate and exhortatory (""قولها ولا تخف"" — ""say it, don't be afraid""), not expressions of personal hopelessness, worthlessness, or withdrawal. The post addresses collective national concerns, not individual mental distress.",,not depressed,"The post expresses a political message about silence and national pride, focusing on land and sovereignty issues. There are no indicators of personal distress, hopelessness, or isolation present in the content. It is a call to action rather than a reflection of personal emotional state.",,not depressed,"The post is a political statement regarding national territory and activism. It uses rhetorical, assertive language to express a political opinion rather than personal emotional distress, hopelessness, or symptoms of depression.",,not depressed,"The post is a statement of political defiance and nationalistic sentiment regarding Egyptian issues (""استبداد غشوم,"" ""وهم مصلحة زائفة""). It expresses strong resolve rather than expressions of hopelessness, social withdrawal, or personal emotional distress associated with depression.",,not depressed,"The post contains strong language and criticism, but in a patriotic and nationalistic context, not personal distress or emotional suffering. Phrases like ""لا تخف"" (don't be afraid) suggest defiance rather than hopelessness.",,,,,,not depressed,"This post is a political statement criticizing silence and foreign land deals, not an expression of personal psychological distress. It lacks indicators like hopelessness, self-harm, or social withdrawal, focusing instead on civic duty and national integrity. The emotional tone is righteous anger rather than clinical depression."
