index,conversation,translation,actual_value,claude_prediction,claude_exp4_classification,claude_exp4_justification,openai_prediction,openai_exp4_classification,openai_exp4_justification,gemini_prediction,gemini_exp4_classification,gemini_exp4_justification,gemma_prediction,gemma_exp4_classification,gemma_exp4_justification,llama_prediction,llama_exp4_classification,llama_exp4_justification,deepseek_prediction,deepseek_keywords,deepseek_keywords_en,deepseek_keyword_evaluation,deepseek_exp4_classification,deepseek_exp4_justification,human_eval_response,human_eval_keywords,qwen_exp4_classification,qwen_exp4_justification
841,naye project mahinn kam krne pehle mere team mahinn dilchaspi kamy,"""Before starting work on the new project, my team lost interest.""",depressed,not depressed,not depressed,"The post expresses lack of interest in a new project and reduced engagement with their team. While ""dilchaspi kamy"" (loss of interest) is mentioned, this is situational and work-specific, not a persistent expression of hopelessness, worthlessness, or pervasive emptiness across life domains. Without additional indicators of depression, this reflects temporary workplace disengagement.",not depressed,not depressed,"The post expresses a lack of interest in a new project and mentions reduced enthusiasm within the team. However, it does not convey hopelessness, worthlessness, or personal distress, focusing instead on a situational issue rather than mental health.",not depressed,depressed,"The user expresses a loss of interest (""dilchaspi kamy"") in their team and work project. This loss of pleasure and motivation in daily activities is a key behavioral indicator of depression, suggesting a persistent lack of engagement rather than a temporary complaint.",not depressed,not depressed,"The post describes a change in team interest regarding a project, which is a situational observation about work dynamics. It does not contain expressions of hopelessness, social withdrawal, loss of pleasure, or other behavioral symptoms indicative of depression.",not depressed,not depressed,"The post expresses enthusiasm and hope (""dilchaspi kamy"") about a new project, indicating positive emotions. The mention of ""mahinn"" (darkness) is used to describe a challenging situation, not personal despair.",not depressed,"mahinn, dilchaspi","before, motivation",,not depressed,"The post appears to be casual conversation discussing preparing the team for a new project (""naye project"") in a non-distressing way. There are no indicators of depression such as hopelessness or loss of interest; it's likely routine work communication reframed positively.",,,not depressed,"The post describes a professional challenge regarding a new project and mentions that the team has lost enthusiasm. This reflects temporary situational frustration or workplace stress rather than persistent hopelessness, worthlessness, or clinical depression indicators. There is no evidence of self-harm, isolation, or deep despair in the text."
912,jahilo pata nahi sab faltu discus krke ag mei ghe dalne kam rhe hei khaskr faminist activist esa lagta ye janbojh anti muslim agenda hawa rhe hei hijabi activist faminist bhrosa nahi kia sakta,"Ignorance, they don't know they're engaging in pointless discussions and heading towards a fiery end. Especially the feminist activists, it seems they're driven by an anti-Muslim agenda. I can't trust the hijab-wearing feminist activists.",depressed,not depressed,not depressed,"This post expresses political frustration and skepticism about feminist activists and their agendas, using strong emotional language (""ag mei ghe dalne"" — throwing fuel on fire). The criticism targets external groups and ideologies, not the poster's personal mental state, self-worth, or wellbeing. This is societal/political commentary, not self-directed distress.",not depressed,not depressed,"The post expresses frustration with political and social issues, specifically targeting feminist activists and perceived anti-Muslim agendas. It uses strong emotional language but does not indicate personal distress or mental health concerns.",not depressed,not depressed,"This post is political and societal commentary criticizing feminist activists and their perceived agendas. It uses intense, frustrated language, but the focus is entirely on external groups and political discourse rather than personal mental health or self-directed distress.",not depressed,not depressed,"The post expresses intense frustration and political commentary regarding social and activist groups. It does not contain expressions of personal hopelessness, loss of interest, sleep disturbances, or negative self-talk indicative of depression.",not depressed,not depressed,"The post expresses frustration and suspicion about an ""anti-Muslim agenda"" but targets a specific societal issue, not personal mental health. Language is intense but directed at political commentary, not self-directed distress.",not depressed,"khaskr, faminist, activist, hawa, bhrosa","criticize, feminist, activist, talk/movement, doubt",,not depressed,"Expresses frustration about unproductive discussions and criticism of activists' perceived biases (""feminist activist esa lagta ye janbojh anti muslim agenda hawa rhe hei""). The tone is reactive to external factors, lacking expressions of hopelessness or persistent sadness directed at the user's own situation.",,,not depressed,"The post expresses frustration and distrust regarding political activism and perceived agendas, but the distress is directed at societal issues rather than personal hopelessness or self-harm. There are no indicators of clinical depression such as worthlessness, isolation, or suicidal ideation."
1128,jo bhi raha humahinn bataya dikhaya hahi lekin israel jo hota hahi humahinn bhi livestream media social media dikhaya chahie kionkey sirf palestini awam yeh hal dekh dil naumed honey lag hahi lekin jab,"What remains to be told and shown to us, Israel, it should also be shown to us live on social media because only the Palestinian people seem to be suffering and it breaks our hearts.",depressed,not depressed,not depressed,"This is political/societal commentary about media coverage of the Israel-Palestine conflict. The poster expresses frustration that Palestinian suffering isn't adequately shown on social media and livestreams. While emotionally intense language is used (""dil naumed"" — disheartened hearts), it targets external societal issues and media responsibility, not personal mental health or self-directed distress.",not depressed,not depressed,"The post discusses the situation in Israel and Palestine, expressing a desire for media coverage. While it mentions feelings of hopelessness (""dil naumed honey lag hahi""), it is focused on societal issues rather than personal distress or mental health.",not depressed,not depressed,"The post is a political commentary regarding the situation in Palestine and media coverage of the conflict. The mention of ""dil naumed"" (heart losing hope) is directed at the collective suffering of the Palestinian people rather than the author's personal mental health.",not depressed,not depressed,"The post expresses intense political frustration and a call for media exposure regarding the situation involving Israel and Palestine. It does not contain expressions of personal hopelessness, social withdrawal, loss of interest, or behavioral symptoms indicative of depression.",not depressed,not depressed,"The post expresses frustration about media representation, but targets societal issues (Israel-Palestine conflict) rather than personal mental health. The tone is critical, not despairing or self-harming.",not depressed,"palestini, israel, humahinn","Palestine, Israel, someone",,not depressed,"The post discusses media bias (""kionkey sirf palestini awam"") and then shifts to describing a feeling of being overwhelmed by current events (""yeh hal dekh dil naumed honey lag hahi lekin jab""). While it touches on frustration with societal issues, the language does not explicitly indicate clinical depression.",,,not depressed,"The post discusses the Israeli-Palestinian conflict and media representation, using emotional language regarding suffering but targeting societal issues rather than personal mental health. It lacks self-directed symptoms of depression like hopelessness or isolation."
1156,hr dawat mahinn zyada khanay adat mera weight badha dia,"I developed a habit of overeating during the invitation month, which caused my weight to increase.",depressed,not depressed,not depressed,"The post describes a specific, situational complaint about weight gain due to eating habits during gatherings. This is a casual observation about a concrete event (""hr dawat mahinn zyada khana""), not an expression of hopelessness, worthlessness, or persistent despair. No indicators of depression are present.",not depressed,not depressed,"The post discusses a specific situation regarding eating habits and weight gain, indicating a concern about diet rather than expressing hopelessness or emotional distress. It does not contain any indicators of depression or personal suffering.",not depressed,not depressed,"The post describes a specific, situational complaint about weight gain due to overeating at social gatherings. It focuses on a common lifestyle frustration rather than persistent hopelessness, worthlessness, or clinical symptoms of depression.",not depressed,not depressed,"The post describes a behavioral consequence—weight gain due to eating habits. It does not express expressions of hopelessness, social withdrawal, loss of interest, or other core indicators of depression. It is a statement about physical health rather than emotional distress.",not depressed,not depressed,"The post mentions a specific situation (excessive eating at a party) causing weight gain, but it's a casual, event-related complaint, not an expression of persistent distress or hopelessness.",not depressed,"hr dawat, mahinn zyada, khanay adat","frequent, a lot of, eating habit",,not depressed,"The post describes dissatisfaction with habits leading to weight gain (""mahinn zyada khanay adat mera weight badha dia""). This focuses on behavioral issues related to food and invitations, not expressions of hopelessness or persistent sadness.",,,not depressed,"The user describes a specific behavioral change (overeating) and its direct physical consequence (weight gain) following an event (""dawat""). This is a situational observation about diet and health rather than an expression of hopelessness, worthlessness, or persistent sadness. There are no indicators of clinical depression in this context."
1222,bechahie b apna maza h,"""Selling yourself is quite a thrill.""",depressed,not depressed,not depressed,"The post translates to ""helplessness/misery also has its own fun/pleasure."" This expresses a philosophical or darkly humorous reframing of difficulty, not genuine hopelessness or distress. The tone is casual and paradoxical rather than expressing persistent despair, worthlessness, or loss of interest in life.",not depressed,not depressed,"The phrase ""bechahie b apna maza h"" translates to ""even being miserable has its fun."" This suggests a light-hearted or sarcastic take on a negative feeling, rather than a genuine expression of distress or hopelessness. The overall tone does not indicate clinical depression.",not depressed,not depressed,"The phrase ""bechahie b apna maza h"" (there is a joy in being helpless/vulnerable) is a philosophical or casual observation rather than an expression of clinical distress. It lacks indicators of hopelessness, lethargy, or personal suffering, appearing instead as a neutral remark.",not depressed,not depressed,"The post states ""apna maza h"" (I have my own fun/enjoyment), indicating a sense of personal satisfaction rather than hopelessness or emptiness. This statement contradicts the indicators of depression, as there is no expression of sadness, withdrawal, or loss of interest.",not depressed,not depressed,"The phrase ""maza h"" (it's fun) suggests a positive experience, indicating no signs of depression or hopelessness. The overall context is casual and upbeat, not expressing any distress.",not depressed,"Line 1: bechahie, b, apna, maza","Line 2: aloof, matter, my, fun",,not depressed,"The post discusses humor (""bechahie"") and personal enjoyment (""apna maza h""), with a casual tone that doesn't indicate hopelessness or persistent sadness.",,,not depressed,"The phrase translates to ""I'm enjoying my own fun,"" which indicates active engagement and pleasure rather than withdrawal or hopelessness. There are no indicators of distress, self-harm, or persistent sadness in this text."
1473,apke isue samajh rahe id unlock nahi kia sakta keon apko pichli br kam kie huye mahine adhik gaye halanki kripaya rejoining link httpsrklinbfkecw click krke phir judne cont httpsrklinlbfkeco,"I understand your issue, but I cannot unlock it as you have exceeded the last month's limit. Please click the rejoining link https://rklin.bf/kecoW and then continue with https://rklin.bf/kecoO.",depressed,not depressed,not depressed,"This is a technical support message about account/ID unlock issues and rejoining a platform. It contains no personal distress indicators, self-directed negative language, hopelessness, or behavioral symptoms of depression. The post is purely transactional/administrative in nature.",not depressed,not depressed,"The post discusses a technical issue related to unlocking an account and provides a link for rejoining. There are no expressions of personal distress, hopelessness, or emotional content that would indicate depression. It is purely informational.",not depressed,not depressed,"The post is a technical or administrative message regarding an account issue and a rejoining link. It lacks any personal emotional content, self-reflection, or signs of distress, functioning purely as a transactional communication.",not depressed,not depressed,"The post is purely transactional, addressing an administrative issue regarding an ID unlock and providing a rejoining link. It expresses frustration about a technical process rather than personal emotional distress or symptoms of depression.",not depressed,not depressed,"The post is focused on requesting a rejoining link, indicating a specific issue or event, and does not express hopelessness, worthlessness, or emptiness. The tone is more about seeking assistance than expressing distress.",not depressed,"apke, isue",your issue,,not depressed,"The post focuses on understanding and assisting the user (""apke isue samajh rahe"") regarding an issue (""id unlock nahi kia sakta""). It does not express personal hopelessness, worthlessness, or persistent sadness.",,,not depressed,"This post is a technical support request regarding account unlocking and payment issues, not an expression of personal distress. The language describes administrative hurdles rather than hopelessness, worthlessness, or behavioral symptoms of depression. There are no indicators of self-harm or persistent sadness beyond the frustration of a specific problem."
1579,sir result bre mahinn update kre plzstudents bechahie shikr,"Sir, please update the results for the month. Students are eagerly awaiting.",depressed,not depressed,not depressed,"This is a casual social media request directed at an authority figure (""sir"") asking for a result update. The post expresses frustration about a specific, temporary situation (delayed exam results) and student anxiety, not persistent hopelessness or personal distress. The language is colloquial complaint, not self-directed despair.",not depressed,not depressed,"The post expresses a request for an update on results and mentions students, indicating a concern about academic matters. There are no signs of personal distress, hopelessness, or isolation, making it a situational comment rather than a reflection of depression.",not depressed,not depressed,"The post is a request for a result update and expresses concern for students (""students bechahie shikr""). It is a specific, situational complaint regarding academic administration rather than an expression of personal hopelessness or mental health distress.",not depressed,not depressed,"The post is a formal request regarding exam results and student needs. It expresses administrative concern rather than personal feelings of hopelessness, social withdrawal, or behavioral symptoms associated with depression.",not depressed,not depressed,"The post appears to be a request for an update on exam results, using formal language. There is no indication of personal distress, hopelessness, or emotional struggle.",not depressed,"siasat, plzstudents, shikr","politics, students, poetry",,not depressed,"This post expresses a common student frustration with exam results being delayed (""students bechahie shikr""), but lacks indicators of depression such as hopelessness or persistent sadness. The tone reflects situational stress rather than clinical symptoms.",,,not depressed,"The post expresses frustration about a delayed exam result and students selling books, which is situational complaint rather than personal hopelessness or self-harm. There are no indicators of persistent sadness, worthlessness, or behavioral symptoms of depression."
1582,tension rahy,Stay tense.,depressed,not depressed,not depressed,"""Tension rahy"" is a brief, casual statement meaning ""there was tension"" or ""I'm stressed."" It describes a temporary situational state without indicators of persistent hopelessness, worthlessness, social withdrawal, or behavioral symptoms of depression. This is situational stress, not clinical depression.",not depressed,not depressed,"The phrase ""tension rahy"" (there is tension) is vague and does not provide enough context to indicate personal distress or depressive symptoms. It could refer to a variety of situations without implying hopelessness or isolation.",not depressed,not depressed,"The phrase ""tension rahy"" (staying in tension) is a common, casual expression used to describe situational stress or worry. It lacks indicators of persistent hopelessness, lethargy, or clinical distress, appearing as a general complaint rather than a sign of depression.",not depressed,not depressed,"The post simply states ""tension rahy"" (tension is remaining). This expresses a general feeling of stress but lacks the specific indicators of hopelessness, social withdrawal, loss of interest, or behavioral symptoms required for a depressed classification.",not depressed,not depressed,"""Tension"" is a vague term and can refer to a temporary state, not necessarily indicative of depression. Without explicit language of hopelessness or distress, it's difficult to classify as depressed.",not depressed,tension,stress,,not depressed,"The post consists of a single phrase ""tension rahy"" which lacks sufficient context or indicators (e.g., hopelessness, lethargy, self-harm references) to classify it as depression.",,,not depressed,"The phrase ""tension rahy"" (feeling tense/stressed) describes a temporary state of anxiety or stress rather than persistent hopelessness, worthlessness, or clinical depression. Without additional context indicating severe distress or suicidal ideation, this is classified as situational frustration."
1592,dil rota pr ansu nahi ate log samajhte hum dukhi nahi hote humahinn totne adat si gayi ab khushi lafzo mahinn bayan nahi hoti quen mannra ftw,"My heart breaks but tears don't fall, people think I'm not sad. I've become accustomed to my heart breaking, now happiness is not expressed in words. When the mind is FTW.",not depressed,depressed,depressed,"The post expresses emotional pain (""dil rota"" — heart cries) without visible tears, describing how others misunderstand their suffering. The phrase ""ab khushi lafzo mahinn bayan nahi hoti"" (happiness cannot be expressed in words anymore) indicates anhedonia and loss of capacity for joy. Together, these convey persistent emotional numbness and unexpressed distress, not temporary frustration.",depressed,depressed,"The post expresses deep emotional pain with ""dil rota pr ansu nahi ate"" (the heart cries but no tears come) and suggests a numbness to happiness with ""khushi lafzo mahinn bayan nahi hoti"" (happiness cannot be expressed in words). This indicates persistent sadness and emotional distress.",depressed,depressed,"The user describes a state of internal suffering where they cannot express their pain (""dil rota pr ansu nahi ate"") and have become accustomed to breaking down. The statement that happiness is no longer expressible indicates a persistent loss of pleasure and emotional numbness.",depressed,depressed,"The post expresses deep internal sorrow (""dil rota"") and a sense of emotional numbness where happiness cannot be expressed (""khushi lafzo mahinn bayan nahi hoti""). This reflects persistent sadness and difficulty in emotional expression, indicating distress.",depressed,depressed,"Expresses emotional numbness (""dil rota pr ansu nahi ate"") and resignation (""totne adat si gayi""), indicating hopelessness and loss of emotional expression. The post as a whole conveys a sense of despair and detachment from feelings.",depressed,"dil rota, quen","heart broken, hopelessness",,depressed,"Expresses profound weariness (""humahinn totne adat si gayi"") and inability to feel happiness anymore, indicating persistent lethargy and loss of interest.",,,depressed,"The post describes a heart crying without tears and an inability to express happiness, indicating loss of pleasure. Phrases like ""hum dukhi nahi hote"" (we are not sad) function as a surface denial overridden by the description of deep emotional numbness and despair."
1627,fir bhok lgne wali elvishyadav maggie bhej do wc chakkr khana khaya,"First, feed the hungry Elfish Yadav Maggie; send him to the bathroom, then serve him food.",depressed,not depressed,not depressed,"This is a casual, humorous post about hunger and requesting maggie (noodles). The speaker mentions feeling hungry (""bhok lgne wali"") and makes a joke about a public figure (Elvish Yadav), then requests food. This is situational complaining about appetite with light humor—not an expression of hopelessness, worthlessness, or persistent distress.",not depressed,not depressed,"The post expresses a casual request for food (""maggie bhej do"") and mentions eating (""khana khaya""). There are no indicators of hopelessness, isolation, or distress; it appears to be a light-hearted or humorous comment about hunger rather than a sign of depression.",not depressed,not depressed,"The post is a casual, lighthearted request for food (Maggie) directed at a public figure. It lacks any indicators of hopelessness, isolation, or persistent distress, functioning instead as a social media comment about a specific, temporary craving.",not depressed,not depressed,"The post is a casual request about food and hunger, mentioning eating (""khana khaya""). It does not contain expressions of hopelessness, social withdrawal, loss of interest, or any other indicators associated with depression.",not depressed,not depressed,"The post appears to be a casual, event-specific complaint about being asked to buy Maggie noodles, with no indication of persistent sadness, hopelessness, or distress. The tone is more frustrated than depressed.",not depressed,"fir, bhok","fire, hunger",,not depressed,"The post contains fragmented, informal language with references to frustration and specific cultural/slang terms. It lacks explicit expressions of hopelessness or persistent sadness tied to personal mental health concerns.",,,not depressed,"The post references specific food items (Maggi) and a humorous scenario (""WC chakkr""), indicating casual complaining or sarcasm rather than genuine distress. There are no indicators of hopelessness, self-harm, or persistent sadness; the context suggests a light-hearted request for food."
