index,conversation,translation,actual_value,claude_prediction,claude_exp4_classification,claude_exp4_justification,openai_prediction,openai_exp4_classification,openai_exp4_justification,gemini_prediction,gemini_exp4_classification,gemini_exp4_justification,gemma_prediction,gemma_exp4_classification,gemma_exp4_justification,llama_prediction,llama_exp4_classification,llama_exp4_justification,deepseek_prediction,deepseek_keywords,deepseek_keywords_en,deepseek_keyword_evaluation,deepseek_exp4_classification,deepseek_exp4_justification,human_eval_response,human_eval_keywords,qwen_exp4_classification,qwen_exp4_justification
2,虽然退圈了，但是看见撕逼还是想说一句，惨还是cpf最惨。,"Even though I've left the fandom, seeing the drama still makes me want to say, the shippers are the ones who suffer the most.",depressed,not depressed,not depressed,"This is a fandom/celebrity community post about fan drama (""撕逼"" = fan conflict). The author expresses a casual opinion about which ship/pairing (""cpf"") is most affected by the drama. The opening ""虽然退圈了"" (withdrew from fandom) is followed by ""但是"" (but), indicating they're still engaged enough to comment—this is social engagement content, not personal emotional distress or mental health disclosure.",not depressed,not depressed,"The post expresses a casual remark about a fandom situation (""惨还是cpf最惨"") without any indicators of personal emotional distress or hopelessness. It reflects engagement with a community rather than personal suffering, thus not meeting the criteria for depression.",not depressed,not depressed,"The post is a commentary on fandom dynamics and ""shipping"" culture (cpf), which falls under the category of online community and celebrity-related social engagement. The language used is observational and opinionated regarding external drama rather than expressing personal emotional distress, hopelessness, or clinical symptoms.",not depressed,not depressed,"The post is a reflection on social drama and fandom dynamics (""退圈"", ""cpf"") rather than an expression of internal hopelessness or severe distress. It comments on an external situation rather than detailing personal feelings of worthlessness, sleep issues, or withdrawal.",not depressed,not depressed,"The post mentions ""退圈"" (withdrawing), but it's about a social media phenomenon, not personal emotional distress. The tone is observational and critical, without indicating the author's personal suffering or hopelessness.",not depressed,"撕逼, cpf","fighting/arguments, worst",,not depressed,"Expresses frustration about observing fights (""看见撕逼还是想说一句""), but uses sarcasm and targets CPF as an external issue. No self-directed negative self-talk or behavioral symptoms present in the post.",,,not depressed,"This post discusses fandom dynamics and expresses sympathy for a specific fan group (""cpf"") regarding online conflicts, which falls under social engagement content rather than personal mental health distress. The author is analyzing an external situation within a community context, not reporting on their own feelings of hopelessness, worthlessness, or clinical symptoms. Therefore, it does not meet the criteria for depression classification."
15,你负责动手，我负责动口。,"You handle the action, I handle the talk.",depressed,not depressed,not depressed,"This is a brief, lighthearted division-of-labor joke or meme phrase commonly used in casual contexts (e.g., between friends or partners). It contains no personal emotional distress, hopelessness, self-harm language, or clinical disclosure. The post is playful banter, not a reflection of the author's mental state.",not depressed,not depressed,"The post is a lighthearted statement about division of tasks, suggesting a playful or humorous context. There are no indicators of emotional distress, hopelessness, or personal suffering present in the text.",not depressed,not depressed,"The post is a short, idiomatic phrase describing a collaborative or playful dynamic between two people. It lacks any indicators of emotional distress, hopelessness, or personal suffering, and functions as a casual social remark.",not depressed,not depressed,"The post is a simple statement describing a division of roles (""You handle the action, I handle the speech""). It contains no expressions of hopelessness, sadness, social withdrawal, or any other indicators related to depression. It is purely functional and lacks emotional distress signals.",not depressed,not depressed,"The post contains a casual, lighthearted remark with no indication of emotional distress or personal suffering, suggesting a playful and social interaction rather than a mental health concern.",not depressed,"动手, 动口",doing hands/talking things,,not depressed,"This appears to be a casual, lighthearted division of labor (""You do hands-on tasks, I handle verbal things"") without any expressions of hopelessness or persistent sadness.",,,not depressed,"This post describes a playful division of labor (""you handle actions, I handle words"") typical of casual banter or relationship humor. It lacks any indicators of hopelessness, self-harm, or emotional distress, and functions as lighthearted social engagement rather than a personal mental health disclosure."
37,下午喝两顿咖啡☕ 现在倍儿精神朋友调侃我竟然花钱去外面撸猫家里的主子该不高兴了,Had two cups of coffee in the afternoon ☕ Now I'm super alert. My friend joked that I actually spent money to go out and pet cats—my own cat at home is probably going to be unhappy.,depressed,not depressed,not depressed,"This is a lighthearted daily-life post about caffeine consumption and playful banter with friends about visiting a cat café. The tone is upbeat (""倍儿精神"" = very energetic), and the content describes casual social engagement and humor about pet jealousy. No indicators of hopelessness, withdrawal, self-harm, or emotional distress are present.",not depressed,not depressed,"The post is lighthearted, discussing drinking coffee and joking about spending money to visit a cat café. The tone is playful, with no expressions of emotional distress or personal suffering, indicating engagement in enjoyable activities.",not depressed,not depressed,"The post describes a casual daily activity involving drinking coffee and interacting with cats. The tone is lighthearted and social, focusing on a hobby and a friendly interaction, with no indicators of emotional distress or mental health struggles.",not depressed,not depressed,"The post describes a casual activity involving coffee and interacting with a friend about petting a cat. There are no expressions of hopelessness, social withdrawal, loss of interest, or behavioral symptoms indicative of depression. The tone is light and conversational, reflecting everyday life rather than emotional distress.",not depressed,not depressed,"The post is lighthearted and humorous, with the author joking about being scolded by their pet. The tone is playful, with no indication of emotional distress or sadness.",not depressed,倍儿精神，撸猫,energetic，petting cats,,not depressed,"The post describes a routine involving coffee and pet interactions with no expressions of hopelessness or worthlessness. It includes playful language (""friend teasing"") indicating normal social engagement rather than distress.",,,not depressed,"The post describes a lighthearted social interaction involving coffee and cat play, framed by friends' teasing. References to ""home主子"" (main pet) are playful ownership claims rather than isolation or loss of interest. There are no indicators of hopelessness, self-harm, or clinical distress; the tone is casual and engaged."
46,时间会告诉我们，简单的喜欢，最长远；平凡中的陪伴，最心安；懂你的人，最温暖。,Time will tell us that simple affection lasts the longest; companionship in ordinary life brings the most peace; and those who understand you are the warmest.,depressed,not depressed,not depressed,"This is a philosophical quote about relationships and time, shared appreciatively. The post expresses positive sentiments about companionship and understanding—""最心安"" (most reassuring), ""最温暖"" (most warming)—with no personal distress, self-harm language, hopelessness, or clinical disclosure. This is inspirational content, not a personal mental health disclosure.",not depressed,not depressed,"The post expresses positive sentiments about love, companionship, and understanding. It reflects appreciation for simple joys and does not indicate any emotional distress or signs of depression. The overall tone is uplifting and engaged with life.",not depressed,not depressed,"The post consists of a philosophical reflection on relationships and companionship. It uses inspirational, aphoristic language typical of social media quotes rather than expressing personal emotional distress, hopelessness, or clinical symptoms.",not depressed,not depressed,"The post consists of reflective and warm philosophical statements about liking, companionship, and warmth. It expresses positive sentiments and appreciation rather than any signs of hopelessness, social withdrawal, or emotional distress associated with depression.",not depressed,not depressed,"The post shares inspirational quotes about love and companionship, with a reflective tone, but lacks personal emotional distress or mental health indicators. It's a philosophical quote being shared with appreciation, not a personal expression of suffering.",not depressed,心安，温暖,"peace, warmth",,not depressed,"The post reflects positive sentiments about enduring love and peaceful companionship, lacking indicators of hopelessness or self-negativity.",,,not depressed,"This post consists entirely of a philosophical quote about love and companionship, lacking any personal distress or clinical indicators. The language is inspirational and reflective rather than expressing hopelessness, self-harm, or emotional suffering. It falls under the category of shared sayings without genuine mental health crisis signals."
51,见人说人话见鬼说鬼话 校门外的社交圈不过是利益交换各取所需 热情又保持距离 放低姿态又不卑不亢 展示谦逊又不露声色彰显牛逼。。。。。。OMG 说话是门大艺术 我还要修炼多久才能不这么后知后觉 高 实在是高,"Speak human language to humans and ghost language to ghosts; the social circle outside the school gate is just an exchange of interests where each takes what they need. Be enthusiastic yet keep a distance, lower your posture without being subservient, show humility without revealing your awesomeness... OMG, speaking is a great art—how much longer must I cultivate to not be so slow on the uptake? Masterful, truly masterful.",depressed,not depressed,not depressed,"This post is a reflective, somewhat cynical social commentary on interpersonal dynamics and communication strategies (""见人说人话见鬼说鬼话""). The author expresses frustration about social performance and self-awareness gaps, but frames it as an intellectual observation about a ""big art"" rather than personal emotional suffering. The closing ""高 实在是高"" (impressive/clever) is admiring rather than despairing. No hopelessness, self-harm, isolation, or clinical distress indicators are present—this is philosophical musing about social behavior, not depression.",not depressed,not depressed,"The post discusses social interactions and the complexities of communication in a lighthearted manner, using humor and exaggeration (""OMG"" and ""高""). There are no indicators of emotional distress, hopelessness, or personal suffering present in the content.",not depressed,not depressed,"The post is a reflection on social dynamics and the ""art"" of communication, focusing on interpersonal strategy and self-improvement in a social context. The tone is analytical and slightly cynical, but it lacks any indicators of hopelessness, emotional distress, or clinical symptoms, functioning instead as a commentary on social navigation.",not depressed,not depressed,"The post is a reflective commentary on social dynamics, communication, and self-presentation, focusing on status and intellectual cultivation. While it contains complex phrasing, there are no explicit expressions of hopelessness, worthlessness, social withdrawal, sleep disturbances, or negative self-talk indicative of depression. The tone is assertive and philosophical rather than despairing.",not depressed,not depressed,"The post contains philosophical and inspirational language, with a tone of self-improvement and humor. Phrases like ""见人说人话见鬼说鬼话"" and ""说话是门大艺术"" suggest a lighthearted and appreciative attitude, rather than emotional distress.",not depressed,日常， 爱,"daily, love",,not depressed,"The post reflects frustration about social interactions (""利益交换各取所需"") but frames it as a skill to be learned (""说话是门大艺术""). It uses emotional language like ""OMG"" and ""高"" (high) without expressions of hopelessness or self-harm, indicating situational commentary rather than personal distress.",,,not depressed,"This post is a reflective commentary on social dynamics and the ""art of conversation"" rather than an expression of personal emotional distress. The author analyzes external behaviors like ""利益交换"" (interest exchange) and their own reaction to them with a tone of observation and self-deprecating humor (""OMG"", ""高 实在是高""), which indicates engagement with daily life topics rather than clinical depression or hopelessness."
71,雪山崩塌的时候，没有一片雪花是无辜的；生命消逝的时候，每个人都是凶手。,"When the snow mountain collapses, no snowflake is innocent; when life fades away, everyone is a murderer.",depressed,not depressed,not depressed,"This is a philosophical quote about collective responsibility and mortality, presented as a standalone aphorism. There is no personal disclosure of emotional suffering, no self-harm language, no hopelessness about the author's own life, and no behavioral symptoms. The post shares a philosophical observation, not personal mental distress.",not depressed,not depressed,"The post uses a philosophical metaphor about snowflakes and life, which does not indicate personal emotional distress or hopelessness. It reflects on broader themes rather than expressing individual feelings of worthlessness or sadness.",not depressed,not depressed,"The post consists of a philosophical quote regarding collective responsibility and existential reflection. It lacks any personal disclosure, expressions of individual hopelessness, or indicators of emotional distress, functioning instead as a shared observation or social commentary.",not depressed,not depressed,"The post expresses profound existential despair and nihilism regarding catastrophe and mortality, rather than detailing personal symptoms of depression like hopelessness, sleep disturbance, or social withdrawal. It functions more as a philosophical reflection on life and loss rather than a direct report of personal emotional suffering or behavioral distress.",not depressed,depressed,"The post contains a metaphor of life as a catastrophic event, implying hopelessness and mortality. The phrase ""每个人都是凶手"" suggests a sense of guilt and worthlessness, indicating severe depression.",not depressed,生命消逝，每个人都是凶手。,"life gone, everyone is murderer",,not depressed,This post uses poetic metaphor to reflect on collective responsibility in the face of tragedy. No first-person distress or behavioral symptoms are present.,,,not depressed,"This post consists entirely of a philosophical quote about collective responsibility and life's fragility, lacking any personal disclosure of suffering or distress. It functions as shared inspirational content rather than an expression of individual hopelessness or clinical symptoms. The absence of first-person emotional indicators confirms this is not a mental health crisis signal."
86,谁须要日后被谁记住 谁贪你想起我的好处,"Who needs to be remembered by whom in the future, who covets you remembering my good points",depressed,not depressed,not depressed,"This post consists of poetic/philosophical lines about memory and relationships, presented as quoted or reflective content rather than personal emotional disclosure. There are no indicators of hopelessness, self-harm, social withdrawal, or clinical distress — only abstract musings on human connection. This is literary or inspirational content, not a personal mental health crisis.",not depressed,not depressed,"The post reflects a philosophical musing about being remembered and the benefits of being thought of, without any expressions of personal distress, hopelessness, or emotional suffering. It does not indicate any signs of depression.",not depressed,not depressed,"The post consists entirely of song lyrics (from Eason Chan's ""落花流水""). As per the instructions, quoted content such as song lyrics does not constitute a personal mental health indicator and should not be classified as depressed.",not depressed,not depressed,"The post is a philosophical and reflective statement about memory and desire, carrying a melancholic tone, but it does not contain explicit expressions of hopelessness, social withdrawal, loss of interest, or behavioral symptoms associated with depression. It functions more as an existential reflection than a direct expression of acute emotional distress.",not depressed,not depressed,"The post contains a philosophical quote with no personal emotional distress or mental health indicators, appearing to be a reflection on memory and recognition rather than a expression of sadness or hopelessness.",not depressed,日后，好处,"future, benefits",,not depressed,"The poetic expression focuses on being unremembered or irrelevant, lacking explicit indicators like hopelessness or self-harm. It reflects a detached tone rather than personal distress.",,,not depressed,"This post consists entirely of song lyrics or poetic lines about relationships and memory, lacking any personal disclosure of emotional distress. It falls under the category of quoted content rather than a genuine expression of personal suffering or clinical symptoms. Therefore, it does not meet the criteria for depression classification."
89,老板的一场商业自吹开始了,The boss's business self-promotion session has begun,depressed,not depressed,not depressed,"This is a brief, casual observation about a boss starting to boast about business matters. The tone is detached and observational (""开始了"" — ""has begun""), typical of workplace commentary or venting. No indicators of hopelessness, self-harm, isolation, or emotional distress are present. This is situational workplace frustration, not personal mental health crisis.",not depressed,not depressed,"The post is a casual remark about a boss's self-promotion in a business context. It does not express any signs of emotional distress, hopelessness, or personal suffering, and is more of an observation than a reflection of mental health.",not depressed,not depressed,"The post is a brief, cynical observation about a workplace situation or a superior's behavior. It reflects a common social or professional complaint rather than personal emotional distress, hopelessness, or symptoms of depression.",not depressed,not depressed,"The post is a neutral observation about a boss engaging in commercial self-praise. It does not contain any expressions of hopelessness, social withdrawal, loss of interest, sleep disturbances, or other indicators associated with depression. The content is purely observational and lacks emotional distress signals.",not depressed,not depressed,"The post describes a situation where someone is self-promoting, but there's no indication of emotional distress or personal suffering. The tone seems casual and observational, without any language suggesting hopelessness or negative emotions.",not depressed,商业自吹,commercial self-praise,,not depressed,"This post describes a boss engaging in self-promotion (""商业自吹"") without any expressions of hopelessness or negative emotions about personal well-being.",,,not depressed,"This post describes a third-party event (a boss's self-promotion) rather than expressing personal emotional distress or mental health struggles. It functions as a casual observation or commentary on workplace dynamics, lacking indicators of hopelessness, isolation, or clinical symptoms. The content is social engagement focused on an external subject, not a disclosure of personal suffering."
314,一个人，没有同类。,"A person, without a peer.",not depressed,depressed,not depressed,"This is a brief, philosophical statement without personal emotional distress markers. While it expresses a sense of isolation or uniqueness (""alone, no peers""), it reads as a reflective observation or existential musing rather than a cry of hopelessness or suffering. No behavioral symptoms, self-harm language, or clinical indicators of depression are present.",depressed,depressed,"The phrase ""一个人，没有同类"" (alone, with no peers) suggests feelings of isolation and loneliness, which are indicators of depression. The lack of connection implied here points to a deeper emotional struggle, reflecting a sense of hopelessness.",depressed,depressed,"The phrase ""没有同类"" (no one like me) expresses a profound sense of alienation, isolation, and social disconnection. This reflects a core indicator of depression: the feeling of being fundamentally alone and unable to relate to others, which often accompanies persistent emotional withdrawal.",depressed,depressed,"The statement ""一个人，没有同类"" (Alone, no one like me) expresses a profound sense of isolation and lack of belonging. This aligns with indicators of social withdrawal and feelings of emptiness often associated with depression.",depressed,depressed,"The phrase ""一个人，没有同类"" (alone, no peers) indicates social isolation and withdrawal, a key indicator of depression. This statement conveys a sense of loneliness and disconnection from others.",depressed,No match found,,,not depressed,"The post describes a solitary existence (""一个人"") and absence of like-minded individuals (""没有同类""), which could imply feelings of isolation. However, without explicit expressions of hopelessness or persistent sadness tied to personal struggles, it remains ambiguous.",,,depressed,"The phrase ""没有同类"" (no peers/similar people) indicates profound social isolation and a sense of being fundamentally different from others, which are core symptoms of depression. This statement reflects deep loneliness rather than casual observation or fandom content, signaling significant emotional distress."
319,相比微信 更多东西我愿意放在微博里。恍惚间军训过去好几天了，今天上午休息的时候一中的同学们都在踢足球，可是我看着他们穿着红色的校服踢足球我突然想到初中了，想到我们初中的班足球赛的场面，眼泪一下就掉下来，也没人注意到我，我就悄悄地抹眼泪，后来看到了初中的同学，一下情绪就收不住了，哇哇地嚎，甚至我现在打字都在掉眼泪。红色的校服身上我看不到一点儿蓝色的影子，我真的太想太想初中了。我真的太难受了。我永远忘不了初中的球赛，忘不了那帮同学，忘不了我们在一起的三年，忘不了好朋友们在一起谈天说地的时刻，忘不了中考后班主任在我面前掉眼泪的画面。张老师，还有我亲爱的同学们，我真的好想好想你们啊。一中的老师同学都很好，可是我找不到初中的感觉了，我甚至觉得孤独，还有一种说不出来的无助，好像你们终将要离我而去。我好想十七班。,"Compared to WeChat, I prefer to share more things on Weibo. It feels like military training ended days ago. During the break this morning, students from No. 1 High School were playing soccer, but when I saw them wearing red uniforms, I suddenly thought of middle school—the scene of our class soccer match in junior high. Tears immediately fell, and no one noticed me, so I quietly wiped them away. Later, I saw a classmate from junior high and couldn't hold back my emotions anymore, crying loudly. Even now, as I type, tears are falling. In the red uniforms, I can't see a trace of blue. I miss junior high so, so much. I'm really heartbroken. I'll never forget the soccer matches in junior high, those classmates, the three years we spent together, the moments chatting and laughing with good friends, and the sight of our homeroom teacher crying in front of me after the high school entrance exam. Teacher Zhang, and my dear classmates, I miss you all so, so much. The teachers and students at No. 1 High School are great, but I can't find the feeling of junior high anymore. I even feel lonely and an indescribable helplessness, as if you are all eventually going to leave me. I miss Class 17 so much.",not depressed,depressed,depressed,"The post describes persistent, uncontrollable emotional distress triggered by nostalgia—crying uncontrollably (""哇哇地嚎""), continuing to tear up while writing, and explicit statements of suffering (""我真的太难受了""). Beyond situational sadness, the author expresses feelings of isolation (""觉得孤独""), helplessness (""无助""), and a sense of permanent loss (""你们终将要离我而去""). These are sustained emotional symptoms beyond normal grief over transition, indicating depressive distress.",depressed,depressed,"The post expresses deep emotional pain and longing for past connections, highlighted by phrases like ""我真的太难受了"" (I really feel too bad) and feelings of loneliness and helplessness. The author reflects on lost friendships and experiences, indicating persistent sadness and a sense of isolation.",depressed,depressed,"The author expresses profound loneliness, helplessness (""说不出来的无助""), and an inability to adapt to their current environment, leading to persistent crying and emotional collapse. While triggered by nostalgia, the intensity of the distress, the feeling of isolation (""没人注意到我""), and the sense of abandonment (""终将要离我而去"") indicate a state of emotional suffering that goes beyond normal situational sadness.",depressed,depressed,"The post expresses intense emotional suffering, including feelings of loneliness (""孤独""), helplessness (""无助""), and deep sadness (""我真的太难受了""). The author reflects on lost friendships and a sense of profound absence, indicating persistent negative emotional states beyond normal situational reactions.",depressed,depressed,"The post expresses nostalgia and sadness about past experiences, with tears and emotional outbursts. The author feels a strong sense of longing and difficulty in moving on from their initial school days, accompanied by feelings of loneliness and hopelessness.",depressed,眼泪，难受，孤独，无助,"tears, uncomfortable, lonely, helpless",,depressed,"Expresses persistent sadness, loss of interest in current life (""I even feel lonely""), and emotional distress tied to nostalgic memories. Phrases like ""tears,"" ""sobbed,"" and ""lonely"" indicate behavioral symptoms without explicit hopelessness or self-harm references.",,,depressed,"The post describes intense emotional distress, including uncontrollable crying and a profound sense of isolation (""no one noticed me""). Key indicators include explicit feelings of loneliness (""孤独""), helplessness (""无助""), and the belief that friends are leaving (""终将要离我而去""), which signals deep personal suffering rather than casual nostalgia."
